q0_deg,q1_deg,q2_deg,x_m,y_m,z_m
-10.000000000,2.000000000,52.000000000,0.112460962,-0.013040618,0.034629198
-10.000000000,2.000000000,54.000000000,0.109336927,-0.012489766,0.034450668
-10.000000000,2.000000000,56.000000000,0.106227177,-0.011941433,0.034458159
-10.000000000,2.000000000,58.000000000,0.103144116,-0.011397807,0.034650109
-10.000000000,2.000000000,60.000000000,0.100100178,-0.010861078,0.035023892
-10.000000000,2.000000000,62.000000000,0.097107721,-0.010333427,0.035575763
-10.000000000,2.000000000,64.000000000,0.094178907,-0.009816998,0.036300822
-10.000000000,2.000000000,66.000000000,0.091325577,-0.009313879,0.037192979
-10.000000000,2.000000000,68.000000000,0.088559102,-0.008826075,0.038244949
-10.000000000,2.000000000,70.000000000,0.085890237,-0.008355482,0.039448250
-10.000000000,2.000000000,72.000000000,0.083328955,-0.007903859,0.040793234
-10.000000000,2.000000000,74.000000000,0.080884284,-0.007472798,0.042269134
-10.000000000,2.000000000,76.000000000,0.078564139,-0.007063693,0.043864145
-10.000000000,2.000000000,78.000000000,0.076375155,-0.006677716,0.045565531
-10.000000000,2.000000000,80.000000000,0.074322535,-0.006315784,0.047359760
-10.000000000,2.000000000,82.000000000,0.072409912,-0.005978537,0.049232679
-10.000000000,2.000000000,84.000000000,0.070639230,-0.005666318,0.051169710
-10.000000000,2.000000000,86.000000000,0.069010659,-0.005379157,0.053156080
-10.000000000,2.000000000,88.000000000,0.067522551,-0.005116764,0.055177073
-10.000000000,2.000000000,90.000000000,0.066171440,-0.004878526,0.057218300
-10.000000000,4.000000000,0.000000000,0.165515889,-0.022395633,0.088532301
-10.000000000,4.000000000,2.000000000,0.165154247,-0.022331866,0.085000292
-10.000000000,4.000000000,4.000000000,0.164601562,-0.022234412,0.081529772
-10.000000000,4.000000000,6.000000000,0.163864800,-0.022104502,0.078124395
-10.000000000,4.000000000,8.000000000,0.162950032,-0.021943203,0.074788909
-10.000000000,4.000000000,10.000000000,0.161862806,-0.021751496,0.071528817
-10.000000000,4.000000000,12.000000000,0.160608407,-0.021530311,0.068350154
-10.000000000,4.000000000,14.000000000,0.159192032,-0.021280566,0.065259327
-10.000000000,4.000000000,16.000000000,0.157618925,-0.021003185,0.062262999
-10.000000000,4.000000000,18.000000000,0.155894465,-0.020699116,0.059367995
-10.000000000,4.000000000,20.000000000,0.154024248,-0.020369347,0.056581231
-10.000000000,4.000000000,22.000000000,0.152014140,-0.020014910,0.053909649
-10.000000000,4.000000000,24.000000000,0.149870327,-0.019636898,0.051360163
-10.000000000,4.000000000,26.000000000,0.147599349,-0.019236464,0.048939604
-10.000000000,4.000000000,28.000000000,0.145208131,-0.018814827,0.046654670
-10.000000000,4.000000000,30.000000000,0.142704008,-0.018373283,0.044511879
-10.000000000,4.000000000,32.000000000,0.140094745,-0.017913200,0.042517515
-10.000000000,4.000000000,34.000000000,0.137388547,-0.017436024,0.040677582
-10.000000000,4.000000000,36.000000000,0.134594068,-0.016943282,0.038997748
-10.000000000,4.000000000,38.000000000,0.131720420,-0.016436580,0.037483291
-10.000000000,4.000000000,40.000000000,0.128777162,-0.015917604,0.036139047
-10.000000000,4.000000000,42.000000000,0.125774300,-0.015388119,0.034969342
-10.000000000,4.000000000,44.000000000,0.122722270,-0.014849963,0.033977942
-10.000000000,4.000000000,46.000000000,0.119631915,-0.014305050,0.033167980
-10.000000000,4.000000000,48.000000000,0.116514457,-0.013755358,0.032541899
-10.000000000,4.000000000,50.000000000,0.113381460,-0.013202927,0.032101380
-10.000000000,4.000000000,52.000000000,0.110244782,-0.012649846,0.031847281
-10.000000000,4.000000000,54.000000000,0.107116514,-0.012098248,0.031779569
-10.000000000,4.000000000,56.000000000,0.104008915,-0.011550294,0.031897257
-10.000000000,4.000000000,58.000000000,0.100934330,-0.011008162,0.032198348
-10.000000000,4.000000000,60.000000000,0.097905093,-0.010474025,0.032679774
-10.000000000,4.000000000,62.000000000,0.094933426,-0.009950040,0.033337356
-10.000000000,4.000000000,64.000000000,0.092031316,-0.009438320,0.034165763
-10.000000000,4.000000000,66.000000000,0.089210387,-0.008940914,0.035158493
-10.000000000,4.000000000,68.000000000,0.086481753,-0.008459782,0.036307860
-10.000000000,4.000000000,70.000000000,0.083855870,-0.007996768,0.037605007
-10.000000000,4.000000000,72.000000000,0.081342375,-0.007553571,0.039039938
-10.000000000,4.000000000,74.000000000,0.078949919,-0.007131717,0.040601573
-10.000000000,4.000000000,76.000000000,0.076686006,-0.006732528,0.042277833
-10.000000000,4.000000000,78.000000000,0.074556831,-0.006357097,0.044055756
-10.000000000,4.000000000,80.000000000,0.072567128,-0.006006259,0.045921633
-10.000000000,4.000000000,82.000000000,0.070720041,-0.005680567,0.047861190
-10.000000000,4.000000000,84.000000000,0.069017012,-0.005380277,0.049859790
-10.000000000,4.000000000,86.000000000,0.067457703,-0.005105329,0.051902663
-10.000000000,4.000000000,88.000000000,0.066039962,-0.004855343,0.053975160
-10.000000000,4.000000000,90.000000000,0.064759829,-0.004629621,0.056063024
-10.000000000,6.000000000,0.000000000,0.165120001,-0.022325827,0.083837393
-10.000000000,6.000000000,2.000000000,0.164637187,-0.022240694,0.080320351
-10.000000000,6.000000000,4.000000000,0.163965558,-0.022122268,0.076871532
-10.000000000,6.000000000,6.000000000,0.163112206,-0.021971799,0.073494339
-10.000000000,6.000000000,8.000000000,0.162083356,-0.021790385,0.070193302
-10.000000000,6.000000000,10.000000000,0.160884745,-0.021579037,0.066973725
-10.000000000,6.000000000,12.000000000,0.159521862,-0.021338724,0.063841451
-10.000000000,6.000000000,14.000000000,0.158000121,-0.021070400,0.060802701
-10.000000000,6.000000000,16.000000000,0.156324990,-0.020775029,0.057863946
-10.000000000,6.000000000,18.000000000,0.154502081,-0.020453602,0.055031816
-10.000000000,6.000000000,20.000000000,0.152537224,-0.020107144,0.052313026
-10.000000000,6.000000000,22.000000000,0.150436521,-0.019736734,0.049714306
-10.000000000,6.000000000,24.000000000,0.148206390,-0.019343501,0.047242345
-10.000000000,6.000000000,26.000000000,0.145853602,-0.018928641,0.044903739
-10.000000000,6.000000000,28.000000000,0.143385309,-0.018493415,0.042704937
-10.000000000,6.000000000,30.000000000,0.140809066,-0.018039153,0.040652192
-10.000000000,6.000000000,32.000000000,0.138132847,-0.017567264,0.038751510
-10.000000000,6.000000000,34.000000000,0.135365060,-0.017079228,0.037008599
-10.000000000,6.000000000,36.000000000,0.132514549,-0.016576606,0.035428819
-10.000000000,6.000000000,38.000000000,0.129590600,-0.016061035,0.034017121
-10.000000000,6.000000000,40.000000000,0.126602934,-0.015534229,0.032777998
-10.000000000,6.000000000,42.000000000,0.123561700,-0.014997978,0.031715421
-10.000000000,6.000000000,44.000000000,0.120477456,-0.014454142,0.030832782
-10.000000000,6.000000000,46.000000000,0.117361145,-0.013904652,0.030132830
-10.000000000,6.000000000,48.000000000,0.114224069,-0.013351501,0.029617606
-10.000000000,6.000000000,50.000000000,0.111077840,-0.012796736,0.029288382
-10.000000000,6.000000000,52.000000000,0.107934339,-0.012242452,0.029145595
-10.000000000,6.000000000,54.000000000,0.104805650,-0.011690780,0.029188783
-10.000000000,6.000000000,56.000000000,0.101703989,-0.011143873,0.029416527
-10.000000000,6.000000000,58.000000000,0.098641624,-0.010603896,0.029826391
-10.000000000,6.000000000,60.000000000,0.095630779,-0.010073003,0.030414873
-10.000000000,6.000000000,62.000000000,0.092683523,-0.009553322,0.031177364
-10.000000000,6.000000000,64.000000000,0.089811653,-0.009046934,0.032108111
-10.000000000,6.000000000,66.000000000,0.087026562,-0.008555847,0.033200204
-10.000000000,6.000000000,68.000000000,0.084339093,-0.008081974,0.034445568
-10.000000000,6.000000000,70.000000000,0.081759392,-0.007627103,0.035834981
-10.000000000,6.000000000,72.000000000,0.079296745,-0.007192872,0.037358110
-10.000000000,6.000000000,74.000000000,0.076959419,-0.006780738,0.039003577
-10.000000000,6.000000000,76.000000000,0.074754497,-0.006391951,0.040759045
-10.000000000,6.000000000,78.000000000,0.072687725,-0.006027523,0.042611338
-10.000000000,6.000000000,80.000000000,0.070763363,-0.005688206,0.044546589
-10.000000000,6.000000000,82.000000000,0.068984063,-0.005374468,0.046550422
-10.000000000,6.000000000,84.000000000,0.067350761,-0.005086472,0.048608156
-10.000000000,6.000000000,86.000000000,0.065862615,-0.004824072,0.050705043
-10.000000000,6.000000000,88.000000000,0.064516968,-0.004586798,0.052826520
-10.000000000,6.000000000,90.000000000,0.063309373,-0.004373867,0.054958477
-10.000000000,8.000000000,0.000000000,0.164562993,-0.022227612,0.079159375
-10.000000000,8.000000000,2.000000000,0.163959595,-0.022121216,0.075661586
-10.000000000,8.000000000,4.000000000,0.163169842,-0.021981962,0.072238668
-10.000000000,8.000000000,6.000000000,0.162200937,-0.021811118,0.068893773
-10.000000000,8.000000000,8.000000000,0.161059260,-0.021609809,0.065631207
-10.000000000,8.000000000,10.000000000,0.159750725,-0.021379079,0.062456068
-10.000000000,8.000000000,12.000000000,0.158281018,-0.021119930,0.059374000
-10.000000000,8.000000000,14.000000000,0.156655764,-0.020833354,0.056391028
-10.000000000,8.000000000,16.000000000,0.154880650,-0.020520354,0.053513426
-10.000000000,8.000000000,18.000000000,0.152961514,-0.020181958,0.050747622
